ID;name;genre;country;biography;label;imageUrl;spotifyUrl;instagramUrl
a-001;Amelie Lens;Techno;Belgium;De onbetwiste koningin van de Belgische techno. Haar sets zijn energiek, snel en duister.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Amelie_Lens_06_2022.jpg;https://open.spotify.com/artist/1l9d7B8W0IHy3LqWsx92mv;https://www.instagram.com/amelie_lens
a-002;Paul Kalkbrenner;Techno;Germany;Een levende legende uit Berlijn. Speelt zijn muziek live en creëert een emotionele reis.;Legend;https://commons.wikimedia.org/wiki/Special:FilePath/Paul_Kalkbrenner_-_SMS_2018.jpg;https://open.spotify.com/artist/0rasA5ZsY4I4Gz5c5X1k0g;https://www.instagram.com/iampaulkalkbrenner
a-003;Peggy Gou;House;South Korea;Combineert mode met aanstekelijke house beats. Haar 'Gou-mania' verovert de hele wereld.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Peggy_Gou_2019.jpg;https://open.spotify.com/artist/2lPGM6zG2Z3hZz1nJp6JtU;https://www.instagram.com/peggygou_
a-004;Charlotte de Witte;Techno;Belgium;Donkere, strippende techno. Ze is de nummer 1 techno DJ van de wereld en eigenaar van KNTXT.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Charlotte_de_witte-1513626416.jpg;https://open.spotify.com/artist/1de4e373-e597-4087-bf3d-256ec597749e;https://www.instagram.com/charlottedewittemusic
a-005;Martin Garrix;EDM;Netherlands;Het wonderkind dat op jonge leeftijd de wereld veroverde met 'Animals'. Mainstage energie pur sang.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Martin_Garrix_@_Web_Summit_2017.jpg;https://open.spotify.com/artist/3e1f2ee4-16be-4406-bf18-6173840cf2b1;https://www.instagram.com/martingarrix
a-006;Armin van Buuren;Trance;Netherlands;De grondlegger van A State of Trance. Al decennia aan de top en geliefd bij miljoenen.;Legend;https://commons.wikimedia.org/wiki/Special:FilePath/Armin_van_Buuren_A_State_Of_Trance_2.jpg;https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5;https://www.instagram.com/arminvanbuuren
a-007;Lost Frequencies;Pop/House;Belgium;Felix De Laet maakt melodieuze hits die iedereen kan meezingen. Zomers en vrolijk.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/2016_Open_Beatz_-_Lost_Frequencies_-_by_2eight_-DSC_5145.jpg;https://open.spotify.com/artist/7f5Zgnp2sp84sgcbp0JGPr;https://www.instagram.com/lostfrequencies
a-008;Fisher;Tech House;Australia;De man van 'Losing It'. Zijn energie achter de draaitafels is ongeëvenaard en chaotisch.;Headliner;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/600px-No_image_available.svg.png;https://open.spotify.com/artist/1X8kSx9d8KJk9G2E0z7L5p;https://www.instagram.com/followthefishtv
a-009;Carl Cox;Techno;UK;Oh yes, oh yes! De absolute grootvader van de techno en house. Altijd een lach op zijn gezicht.;Legend;https://commons.wikimedia.org/wiki/Special:FilePath/CarlCox.jpg;https://open.spotify.com/artist/19SmlbABtI4bXz864MLqOS;https://www.instagram.com/carlcoxofficial
a-010;Tiësto;EDM;Netherlands;De Godfather van de moderne dance muziek. Van trance naar big room naar pop, hij kan alles.;Legend;https://commons.wikimedia.org/wiki/Special:FilePath/Tiësto_Airbeat_One_2024.jpg;https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z;https://www.instagram.com/tiesto
a-011;Tale Of Us;Melodic Techno;Italy;Meesters van de melodieuze, emotionele techno en oprichters van het Afterlife label.;Headliner;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/600px-No_image_available.svg.png;https://open.spotify.com/artist/5Gz3kSg4xKJ1Kk5D8KZJtK;https://www.instagram.com/taleofus
a-012;Reinier Zonneveld;Techno;Netherlands;Draait urenlange live sets vol acid en harde beats. Karren maar!;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Reinier_Zonneveld_-_Guinness_World_Record.webp;https://open.spotify.com/artist/28Wy1XswV1D45a0Z5X3QjZ;https://www.instagram.com/reinierzonneveld
a-013;Netsky;Drum & Bass;Belgium;Zette Liquid Drum & Bass op de kaart. Belgische trots met wereldwijde faam.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Netsky_(DJ).jpg;https://open.spotify.com/artist/12Chz98pHFMPJEknwfXv2f;https://www.instagram.com/netskyofficial
a-014;David Guetta;EDM;France;De man die dance naar de radio bracht. Hitmachine en crowd pleaser.;Legend;https://commons.wikimedia.org/wiki/Special:FilePath/David_Guetta_DJing_at_Ushuaïa_Ibiza_2023-07-03_hq.jpg;https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai;https://www.instagram.com/davidguetta
a-015;Boris Brejcha;Minimal;Germany;De man met het masker. Uitvinder van 'High-Tech Minimal'. Uniek en mysterieus.;Headliner;https://commons.wikimedia.org/wiki/Special:FilePath/Boris_brejcha_2017_03_12.jpg;https://open.spotify.com/artist/6f5K9zL9k7E8MZ0KJ9XK4f;https://www.instagram.com/borisbrejcha
